C0747845,0.614065
C0878751,0.604150
C0232991,0.599169
C3830362,0.597841
C0024915,0.594440
C0559565,0.584366
C0232989,0.579416
C0814007,0.577219
C0687675,0.576473
C0747927,0.574357
C0742974,0.569674
C1281996,0.569385
C0232999,0.568420
C0032961,0.567212
C0860096,0.561237
C0032975,0.561191
C1948170,0.561160
C0032969,0.560611
C0232997,0.558174
C0522157,0.551926
C0152150,0.548175
C0242786,0.545697
C0020217,0.542952
C0404841,0.541660
C3494204,0.540470
C0259945,0.538277
C0552579,0.537460
C0404588,0.536690
C0425965,0.535536
C1276363,0.530164
C0269287,0.527094
C0206174,0.525899
C0854468,0.525001
C0269661,0.522900
C0232995,0.522163
C3839171,0.521301
C0587438,0.521265
C0032976,0.518740
C0032995,0.516426
C0233704,0.516376
C0747919,0.516036
C1444165,0.515239
C0750419,0.513158
C0420302,0.512582
C1291692,0.511784
C0019988,0.510876
C0206175,0.509842
C0032962,0.505632
C1827755,0.503045
C0032967,0.500171
C4314562,0.498964
C0032992,0.497139
C0557861,0.496521
C1277583,0.494467
C0336603,0.489750
C3489408,0.488101
C0019994,0.488015
C0240802,0.487394
C0032982,0.486702
C0404843,0.485553
C0263571,0.484003
C0006147,0.481022
C0341899,0.480788
C0020026,0.478584
C0545092,0.476462
C0269596,0.475529
C0850757,0.475412
C0336606,0.471801
C3825797,0.471058
C0020025,0.470918
C0337966,0.469679
C1271036,0.467922
C0600457,0.466933
C0556974,0.466283
C0019987,0.466047
C0919624,0.465351
C0460089,0.462095
C2985289,0.460592
C3881014,0.458780
C0239966,0.456928
C0156604,0.455752
C0011211,0.454842
C0152151,0.451265
C0032987,0.450727
C0806432,0.450275
C0032968,0.449798
C0015576,0.449767
C0032972,0.448748
C0427780,0.448374
C0007874,0.447316
C0242205,0.446396
C0020023,0.446115
C3814420,0.444881
C0011212,0.444227
C0031228,0.443361
C0420980,0.442924
C0452742,0.442892
C0566639,0.442620
C1301639,0.440968
C0025109,0.440685
C0192456,0.439300
C0420528,0.439141
C0269285,0.436981
C0032979,0.436428
C0079850,0.436417
C0086839,0.435445
C0032989,0.434206
C0037178,0.434089
C0199400,0.432895
C0814003,0.432156
C0020005,0.432089
C0600309,0.430911
C0032797,0.430672
C0269291,0.429525
C0682762,0.429175
C0240526,0.428359
C0020017,0.427852
C0019980,0.427786
C0557130,0.427007
C0593622,0.426770
C0241311,0.426352
C0566690,0.425773
C1258091,0.424430
C0020022,0.423289
C0917998,0.422849
C0439511,0.422685
C0026131,0.421760
C1456690,0.421511
C0425321,0.421143
C0019968,0.421119
C0227828,0.419767
C0033173,0.419589
C0233004,0.418959
C0848080,0.418179
C3687621,0.417968
C0020029,0.417579
C0455859,0.417445
C0556184,0.417157
C0038894,0.416694
C0033011,0.416129
C0008071,0.415135
C0558380,0.414758
C0349374,0.414586
C0233089,0.414124
C0260015,0.413712
C4543692,0.413593
C0017313,0.413456
C0259944,0.413333
C0001948,0.412808
C0016452,0.412763
C0587122,0.411892
C0019974,0.410099
C4035866,0.407014
C0085207,0.405945
C0151864,0.405876
C0187769,0.404879
C0420983,0.404023
C0587906,0.403463
C0457226,0.403336
C0151865,0.403160
C0453870,0.402749
C0723367,0.402561
C0079549,0.402341
C0041747,0.402118
C1532525,0.402025
C0475603,0.402000
C0032981,0.401841
C0006042,0.401543
C0007876,0.401447
C4518233,0.400917
C0520887,0.400398
C0260267,0.400151
C2937255,0.400135
C0991850,0.400074
C0204695,0.400037
C0404844,0.399317
C0557218,0.399098
C0330920,0.398999
C4706370,0.398607
C0016489,0.398116
C0418867,0.397482
C3812393,0.396785
C0567180,0.395974
C0020010,0.395841
C0001573,0.395801
C0000786,0.395597
C0567187,0.395559
C0524727,0.395292
C2921106,0.394723
C5231041,0.394354
C0037315,0.393783
C0567230,0.393169
C0439227,0.392630
C0524819,0.392603
C1267666,0.392429
C1398137,0.392267
C0195707,0.391613
C0195622,0.391518
C0565599,0.390567
C0453855,0.389910
C4331295,0.389483
C0425891,0.389388
C0021562,0.388478
C0012164,0.387356
C1301668,0.386246
C2979982,0.386236
C1275568,0.386156
C1442445,0.385910
C0404381,0.385882
C0585318,0.385263
C0019959,0.385222
C0585037,0.385134
C2984071,0.384751
C0557850,0.383312
C0453827,0.383019
C0022864,0.382827
C0234451,0.382750
C0580085,0.382371
C0338908,0.382295
C2945625,0.381999
C0033145,0.381952
C0187067,0.381699
C0271930,0.381442
C0033010,0.381331
C1546400,0.380386
C0337505,0.380285
C4476681,0.379004
C4075948,0.378326
C0032993,0.378045
C0453838,0.377672
C0497307,0.377149
C0007851,0.376962
C0281594,0.375848
C1321138,0.375678
C1830407,0.375612
C0453862,0.375459
C0420984,0.374837
C0556346,0.374814
C0680031,0.374458
C0543467,0.374019
C0037313,0.372128
C1999013,0.371987
C0019982,0.371935
C2983568,0.371905
C0870919,0.371796
C0026140,0.371604
C4075722,0.370035
C5206758,0.370009
C0419383,0.369888
C0022876,0.369657
C0588008,0.369304
C1440965,0.369294
C0195772,0.369024
C1517323,0.368385
C0588006,0.368338
C0349375,0.368296
C1443523,0.368260
C0278056,0.367991
C0452741,0.367613
C0393761,0.367158
C4086258,0.366939
C0917799,0.366747
C0005587,0.366678
C0425890,0.366318
C0473498,0.366057
C0474461,0.365636
C0559916,0.365501
C0222601,0.364604
C0452438,0.364215
C0150232,0.363902
C0425332,0.363563
C3334783,0.363164
C3827962,0.362910
C0042134,0.362738
C0456695,0.362689
C0441943,0.362618
C0002903,0.362590
C0221074,0.362104
C1275530,0.361345
C0426027,0.361196
C0015944,0.361033
C0567184,0.360454
C1997262,0.360200
C3539030,0.360059
C0449492,0.359850
C0567177,0.359808
C0021672,0.359744
C0850306,0.359550
C0439512,0.359491
C0079103,0.359275
C1442460,0.359231
C0806434,0.359196
C0541976,0.358751
C0019975,0.358507
C1442458,0.358446
C0871099,0.358178
C0014679,0.358112
C0557221,0.357862
C0015608,0.357747
C0032980,0.357674
C0011570,0.357610
